brand,name,address,latitude,longitude
3second,3 SECOND 1 KARAWACI SUPER MAL,Jl.Boulevard Diponegoro Lt. UG Supermal Karawaci,-6.22680211,106.6071833
3second,3 SECOND FS LAMPUNG,Jl. Raden Intan No. 140 ABC ,-5.42150352,105.2580668
3second,3 SECOND TUNJUNGAN PLAZA,TP 1 Lantai 2 Jl. Jenderal Basuki Rachmat No. 8-12 ,-7.26212351,112.7387542
3second,3 SECOND BENGKULU INDAH MALL,Bengkulu Indah Mall Lt Dasar Blok A no 7,-3.80312726,102.2645356
3second,3 SECOND 2 RUKO MALANG,Jl. Soekarno Hatta A3 Kav 2-3,-7.94935729,112.6168181
3second,3 SECOND 2 RUKO BALIKPAPAN,Jl. Jend Sudirman no 251. Markoni Balikpapan 76113,-1.2744509,116.8495723
3second,3 SECOND HARTONO MALL SOLO,Hartono Mall Lt. UG Blok D Showroom 3second Jl. Ir. Soekarno. Dusun II,-7.60067953,110.8144871
3second,3 SECOND ROYAL PLAZA,Royal Plaza Jl. A Yani No. 16 - 18 Surabaya. Lantai UG Block F3 No. 29 -03 Surabaya 60231,-7.30878915,112.7350246
3second,3 SECOND TANGCITY MALL,Jl. Jend. Sudirman No. 1 Cikokol,-6.1938406,106.634062
3second,3 SECOND FS PANGKAL PINANG,Jl. Kh. Abdurahman Siddik No. 5-7. Gabek Dua,-2.12690714,106.1137615
3second,3 SECOND FS SERANG,Jalan Jendral Ahmad Yani No. 71 Linkungan Asem Gede RT/02 RW/09,-6.11912083,106.1631348
3second,3 SECOND WTC BATANGHARI JAMBI,Mall WTC Batanghari Lt 1 Jl. Sultan Thaha No. 17 Lt 1 blok D26,-1.58868155,103.6159457
3second,3 SECOND RUKO MATARAM,Jl. Panca Usaha No. 29 ,-8.58958403,116.1261641
3second,3 SECOND FS MADIUN,Jln. H Agus salim No. 4,-7.63012491,111.5168015
3second,3 SECOND MALL OF SERANG,3 Second Mall of Serang Lt. 1 Jl. Akses Tol Serang Timur Link Kemang ,-6.11887436,106.1819228
3second,3 SECOND A YANI MAL PONTIANAK,Ayani Mega Mall Lt.1 Blok A1/56. Jl. Ahmad Yani No. 4,-0.05164515,109.3458943
3second,3 SECOND MANADO TOWN SQUARE,Manado Town Square 2 Lt. 2 FF B12 Jl. Piere Tendean Boulevard,1.47241782,124.8318535
3second,3 SECOND  GORONTALO MALL,Gorontalo Citimall Lt Dasar Jl. Sultan Botutihe No. 68,0.53771767,123.0621438
3second,3 SECOND MALL OLIMPIC GARDEN,Mal Olympic Garden Blok GF-12  Jl. Kawi No. 24,-7.97674889,112.6239282
3second,3 SECOND PLAZA KENDARI,3second Lippo Plaza Kendari LT. UG . Jl.  MT.  Haryono Wua wua,-3.99214189,122.5122213
3second,3 SECOND FS CILEGON,Jl. Ahmad Yani No. 13 Sukmajaya,-6.02221384,106.064489
3second,3 SECOND FS JEMBER,JL. Gajah  Mada  No 10 Jember,-8.16578848,113.7118314
3second,3 SECOND PLAZA PEKALONGAN, Jl. Nusantara No. 5  ,-6.89030934,109.6773182
3second,3 SECOND PARAGON MALL SMR,Jl. Pemuda No. 118 Paragon Mall Lt.3,-6.97897281,110.4161487
3second,3 SECOND MEDAN FAIR,Jl. Gatot Subroto No. 30 Plaza Medan Fair Lt. 1 Kav 19-20 ,3.59221846,98.66342739
3second,3 SECOND SUMMARECON MAL BEKASI,Jl. Ahmad Yani Blok-M Bekasi 3second Summarecon Mall Bekasi Lt. 2 ,-6.22592495,107.0010871
3second,3 SECOND LIPPO CIKARANG MALL,Mall Lippo Cikarang Lt. 1 No. 19 Jl. Mh. Thamrin Lippo Cikarang,-6.33433531,107.137026
3second,3 SECOND FS JAMBI,Jl. Sumantri Brojonegoro No.10. Selamat. Kec. Telanaipura. Kota Jambi. Jambi 36124,-1.60741278,103.5988268
3second,3 SECOND CIBINONG MAL,JL. Tegar Beriman No.1,-6.48417755,106.8423405
3second,3 SECOND FS BANYUWANGI,JL. Jendra Ahmad Yani No. 14,-8.21644923,114.3697595
3second,3 SECOND KEDATON MAL LAMPUNG,Mal Boemi Kedatan Lt. 1 Blok L No. 34. Jalan Teuku Umar,-5.38220317,105.2597516
3second,3 SECOND FS BANJARBARU,"Jl. A. Yani No.35, Loktabat Utara, Kec. Banjarbaru Utara, Kota Banjar Baru, Kalimantan Selatan 70714",-3.44145088,114.82779895
3second,3 SECOND FS SUKABUMI,Jl. R. E. Martadinata No.25 Gunungparang,-6.92011304,106.9301903
3second,3 SECOND MALANG TOWN SQUARE,JL. Veteran No. 2 Malang lt 4 unit 28 dan 29 Penanggungan ,-7.95674483,112.6187427
3second,3 SECOND FS PALU,Jl. Emisaelan No. 56 RT 01 RW 01  Palu,-0.911806,119.8759782
3second,3 SECOND KUPANG MALL,Lippo Plaza Kupang Mall. JL. Veteran,-10.15871858,123.611369
3second,3 SECOND BIG MALL SAMARINDA,JL. P. Untung Suropati No.8 . Bigmall Lt UG unit 80-81,-0.52608756,117.1161433
3second,3 SECOND FS GARUT,Jln.ahmad yani no 27,-7.21553091,107.90235408
3second,3 SECOND SUPERBLOCK BALIKPAPAN,Jl. Jend. Sudirman No. 71. LT.UG no 22-23 Balikpapan Superblock,-1.27330204,116.8589883
3second,3 SECOND DUTA MAL BANJARMASIN,Duta Mall LT.02 Block B No.09 . Jl. A. Yani Km 2,-3.32285964,114.6033077
3second,3 SECOND FS PALANGKARAYA,"Jalan diponegoro No 20A, langkai, pahandut, kota palangka raya,kalimantan tengah",-2.21492258,113.92519995
3second,3 SECOND RITA MAL PURWOKERTO,JL. Jend. Soedirman No. 296,-7.42551044,109.2303911
3second,3 SECOND EPICENTRUM MALL MATARAM,JL. Sriwijaya No.333 PUNIA UNIT GF #60,-8.59336361,116.1046316
3second,3 SECOND SOLO SQUARE,sh.3second Lt.1 solo square jln.slamet riyadi no.451 - 455,-7.56044627,110.7888079
3second,3 SECOND FS PURWAKARTA,Jl. Jendral Sudirman No. 70,-6.54758444,107.443748
