brand,name,address,latitude,longitude
Erigo,Aeon JGC - Jakarta Timur,"Lantai 2 Pop Up Unit - Jl. Jkt Garden City Boulevard No.1, RT.8/RW.6, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910 ",-6.172188299999999,106.9522209
Erigo,Armada Town Square,"UG Depan Celcius
",-7.5038959999999975,110.2247823
Erigo,Bandung Indah Plaza,"GF di depan Fore - Jl. Merdeka No.56, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",-6.9086653,107.6108282
Erigo,BINTARO X CHANGE,"GF Depan Atrium JCO
",-6.2853788999999995,106.7276002
Erigo,Bogor Trade Mall,"GF Depan Atrium Utama - Jl. Ir. H. Juanda No.68, RT.01/RW.13, Paledang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16122",-6.6046003,106.793448
Erigo,Buaran Plaza - Jakarta Timur,"GF DS-6 Depan Hokben - Jl. Raden Intan Raya, RT.8/RW.14, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13470",-6.2176794,106.9241175
Erigo,Central Park - Jakarta Barat,"LT. LG Koridor Sate Khas Senayan - Letjen S. Parman St No.Kav. 28, North Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",-6.1771373,106.79097879999999
Erigo,Cibinong City Mall - Bogor,"GF Atrium Utama Depan Pintu Masuk - Pakansari, Cibinong, Bogor Regency, West Java",-6.484157899999999,106.84276249999999
Erigo,Cinere Mall,"GF Depan Mako (K&L) - Jl. Cinere Raya No.1, Pangkalan Jati, Kec. Cinere, Kota Depok, Jawa Barat 16514",-6.323540200000001,106.7837342
Erigo,Cipinang Indah Mall - Jakarta Timur,"GF Depan Optik Seis - Jl. Raya Kalimalang No.18, RT.18/RW.3, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430",-6.239364599999999,106.8943481
Erigo,CIPUTRA CIKUPA,"GF (Depan pizza hut)
",-6.2551903,106.5180146
Erigo,Citraland Ciputra - Jakarta Barat,"UG Depan Auntie Anne's - Letjen S. Parman St, RT.11/RW.1, North Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",-6.1771052,106.7806791
Erigo,CITY CENTRUM SAMARINDA,"2nd floor 
",-6.2255836,105.2895687
Erigo,Dutamall Banjarmasin,"Lantai 1 Hall F1 Depan Hypermart - Jl. A. Yani No.98, Melayu, Kec. Banjarmasin Tengah, Kota Banjarmasin, Kalimantan Selatan 70232",-3.3230203,114.603136
Erigo,Erigo Store Bekasi,"Ruko Grand Galaxy City, Jl. Boulevard Raya timur RGB No.96, RT.001/RW.002, Jaka Setia, Bekasi Selatan, Bekasi, West Java 17148",-6.273956561418498,106.97162887586873
Erigo,Erigo Store Pamulang,"Jl. Pamulang Permai No.14 Blok SH21, West Pamulang, Pamulang, South Tangerang City, Banten 15417",-6.342322,106.7280031
Erigo,Erigo Warehouse Sale,"Erigo Fulfillment Centre
Raya KM No.5, Legok, Tangerang Regency, Banten 15820",-6.277485093685117,106.59356301176898
Erigo,GAIA MALL PONTIANAK,"GF Near Aming Coffe
",-0.07655669999999999,109.36929789999999
Erigo,GRAND MALL MAROS,"GF Depan Toserba 
",-5.0516777,119.5548459
Erigo,JOGJA CITY MALL Yogyakarta,"GF Hall B
",-7.7532424,110.3609091
Erigo,Karawang Central Plaza,"Atrium di depan bmk - Jl. Galuh Mas Raya, Sukaharja, Telukjambe Timur, Karawang, Jawa Barat 41361",-6.3277574,107.2927953
Erigo,Kings Shopping Center - Bandung,"Lt 3 Samping PHOTOMATIC (Unit) - 3JG4+Q22, Jl. Ciguriang, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",-6.923110500000001,107.60500169999999
Erigo,Lippo Mall Kramat Jati - Jakarta Timur,"Lantai GF depan AW - Jl. Raya Jakarta-Bogor No.Km 19, RT.14/RW.6, Kramat Jati, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13510",-6.2707526,106.8680692
Erigo,Living World Denpasar - Bali,"Lt GF Depan Ibox - Jl. Gatot Subroto Tim., Tonja, Kec. Denpasar Utara, Kota Denpasar, Bali 80235",-8.6356413,115.23182820000001
Erigo,Lotte Shopping Avenue - Jakarta Selatan,"Lt. 2 Sebelah Wood - Kuningan, Jl. Prof. DR. Satrio Kav. 3-5, Karet Kuningan, Kecamatan Setiabudi, Daerah Khusus Ibukota Jakarta 12940",-6.2240811,106.8205237
Erigo,MALANG TOWN SQUARE,Lt. 3 Depan Cinepolis,-7.956978599999999,112.6185925
Erigo,Mall Artha Gading - Jakarta Utara,"Atrium Millenium - Jl. Artha Gading Sel. No.1, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240",-6.145773899999999,106.89191869999999
Erigo,MEGA MALL MANADO (UNIT),"Lt 1 Near Sport Station
",1.4839687,124.83483720000001
Erigo,MOG MALANG,"PINTU BARAT LOBBY BELAKANG CHATTIME
",-7.9772742,112.6205541
Erigo,Pesona Square - Depok,"GF East Koridor Near Adidas - Jl. Ir. H. Juanda No.22a, Bakti Jaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16418",-6.3804837999999995,106.8439769
Erigo,PLAZA ASIA TASIK,Lt GF Koridor Depan Lois,-7.343028799999998,108.21693570000001
Erigo,R06 - RAMAYANA ITC BSD,"Lantai Dasar depan kasir
",-6.286170899999999,106.66396329999999
Erigo,R101 - RAMAYANA LAMPUNG,"GF Diantara Eskalator
",-5.3906199,105.2278272
Erigo,R102 Ramayana Kebayoran Lama - Jakarta Selatan,"Lantai 1 Samping Eskalator - No.71, Jl. Raya Kby. Lama No.1 3, RT.3/RW.1, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12230",-6.236786599999999,106.7807406
Erigo,R125 - Ramayana Jatinegara - Jakarta Timur,"Lt 2 Dekat Eskalator - Jl. Matraman Raya No.173-175, RT.7/RW.6, Bali Mester, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13310",-6.213878999999999,106.864403
Erigo,R128 - Ramayana Cibubur,"Plaza Cibubur Depan Entrance Ramayana (Samping Raff) - Jl. Lap. Tembak No.2 1, RT.2/RW.11, Cibubur, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13720",-6.352193400000001,106.8841993
