brand,name,address,latitude,longitude
Uniqlo,UNIQLO 23 PASKAL,"Jl. Pasirkaliki,Komplek Paskal Hypersquare, Andir, Bandung",-6.9153152,107.5960941
Uniqlo,UNIQLO AEON MALL BSD CITY,"Jl. Grand Boulevard BSD City Tangerang, Banten",-6.304849,106.643676
Uniqlo,UNIQLO AEON MALL DELTAMAS,"Jl. Ganesha Boulevard, Kota Deltamas",-6.3519407,107.1954494
Uniqlo,UNIQLO AEON MALL JAKARTA GARDEN CITY,"Jl. Jkt Garden City Boulevard No.1, RT.8/RW.6, Cakung",-6.1617309,106.9660142
Uniqlo,UNIQLO AEON MALL SENTUL CITY,"Jl. MH. Thamrin, Citaringgul, Kec. Babakan Madang, Bogor, Jawa Barat",-6.5677305,106.85798
Uniqlo,UNIQLO AEON MALL TANJUNG BARAT,"Jl. Raya Tj. Barat No.163, RT.12/RW.4, West Tanjung, Jagakarsa, South Jakarta City, Jakarta 12530",-6.3056988,106.8404027
Uniqlo,UNIQLO BEACHWALK (SHERATON GATE),"Jl. Pantai Kuta, Kuta, Kec. Kuta, Kabupaten Badung",-8.7169483,115.168807
Uniqlo,UNIQLO BIG MALL,"Jl. Untung Suropati No.08, Karang Asam Ulu, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur",-0.5262742,117.1159382
Uniqlo,UNIQLO BINTARO JAYA XCHANGE MALL,"Bintaro Jaya Cbd, Blok O, Jl. Sektor VII No.2",-6.2855832,106.7279889
Uniqlo,UNIQLO BOTANI SQUARE MALL,"Jl. Raya Pajajaran No.40, Tugu Kujang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat",-6.6012422,106.8070425
Uniqlo,UNIQLO CIBINONG CITY MALL,"Jl. Tegar Beriman No.1, Pakansari, Kec. Cibinong",-6.4842002,106.8423123
Uniqlo,UNIQLO CIPUTRA MALL JAKARTA,"Jl. Arteri S. Parman, Tj. Duren Utara, Kec. Grogol petamburan",-6.1683748,106.7845472
Uniqlo,UNIQLO CIPUTRA WORLD SURABAYA,"Gunung Sari, Dukuhpakis, Surabaya City, East Java",-7.2936339,112.7171206
Uniqlo,UNIQLO CIREBON SUPERBLOCK,"Komp. Chelsea Blue Ruko 9 - 10, Jl. DR. Cipto Mangunkusumo No.26,",-6.7182196,108.5503329
Uniqlo,UNIQLO DELIPARK MALL,"Jl. Putri Hijau No.1, Kesawan, OPQ, Kota Medan, Sumatera Utara",3.5945598,98.6749481
Uniqlo,UNIQLO DP MALL,"Jl. Pemuda No. 150, Sekayu, Semarang Tengah, Jawa Tengah",-6.9834162,110.412475
Uniqlo,UNIQLO DUTA MALL,"Jl. A. Yani, Sungai Baru, Kec. Banjarmasin Tengah, Kota Banjarmasin, Kalimantan Selatan",-3.3237529,114.6035121
Uniqlo,UNIQLO EMPORIUM PLUIT MALL,"Jl. Pluit Selatan Raya, Penjaringan, Kec. Penjaringan, Kota Jkt Utara, DKI Jakarta",-6.1273196,106.7911269
Uniqlo,UNIQLO FESTIVAL CITY LINK BANDUNG,"Jl. Peta No.241, Suka Asih, Kec. Bojongloa Kaler",-6.9296019,107.5865612
Uniqlo,UNIQLO GAIA BUMI RAYA CITY,"Jl. Arteri Supadio, Sungai Raya, Kec. Sungai Raya, Kabupaten Kubu Raya, Kalimantan Barat",-0.0767259,109.3693578
Uniqlo,UNIQLO GALAXY MALL 3,"Jl. Dharmahusada Indah XVI, Mulyorejo, Kota Surabaya, Jawa Timur",-7.2763889,112.779893
Uniqlo,UNIQLO GANDARIA CITY,Jl. Sultan Iskandar Muda Jakarta Selatan,-6.244707,106.783545
Uniqlo,UNIQLO GRAND BATAM MALL,"Jl. Pembangunan, Batu Selicin, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau",1.135481,104.007953
Uniqlo,UNIQLO GRAND GALAXY PARK,"Jl. Grand Galaxy Boulevard No.1, Jaka Setia, Kec. Bekasi Sel., Kota Bks, Jawa Barat",-6.2708809,106.972185
Uniqlo,UNIQLO GRAND INDONESIA,Jl. MH Thamrin No. 1 Jakarta Pusat,-6.195179,106.8202008
Uniqlo,UNIQLO GRAND METROPOLITAN BEKASI,"Jl. KH. Noer Ali, RT.007/RW.003, Pekayon Jaya, Kec. Bekasi Selatan, Kota Bekasi",-6.249429,106.9834087
Uniqlo,UNIQLO GREEN SEDAYU MALL,"Jl. Taman Palem Lestari No.2, RW.13, Kecamatan Cengkareng, Kota Jakarta Barat",-6.1386506,106.7276802
Uniqlo,UNIQLO HERITAGE BANDUNG,"Jl. L. L. R.E. Martadinata, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat, Indonesia",-6.9056871,107.6170798
Uniqlo,UNIQLO HIVE HARAPAN INDAH,"Jl. Harapan Indah Boulevard, Pusaka Rakyat, Kecamatan Medan Satria",-6.1691716,106.9743989
Uniqlo,UNIQLO ICON BALI MALL,jln danau tamblingan No 27 sanur,-8.6868813,115.2627027
Uniqlo,UNIQLO JAMBI TOWN SQUARE,"Jl. Kapt. A. Bakaruddin No.88, Simpang III Sipin, Kec. Kota Baru, Kota Jambi",-1.6174622,103.59721
Uniqlo,UNIQLO LA PIAZZA MAL KELAPA GADING,"Jl. Boulevard Raya, RT.13/RW.18, Klp. Gading Tim., Kec. Klp. Gading",-6.1592374,106.9071621
Uniqlo,UNIQLO LEVEL 21 MALL,"Jl. Teuku Umar No.1, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar",-8.6698976,115.2144092
Uniqlo,UNIQLO LIPPO MALL KEMANG,"JL. Pangeran Antasari No.36, Bangka, Mampang Prapatan, Jak Sel, DKI Jakarta",-6.261487,106.8126085
Uniqlo,UNIQLO LIPPO MALL PURI,"Jl. Puri Indah Raya Blok U 1, Puri Indah CBD, Jakarta",-6.1880113,106.7387552
Uniqlo,UNIQLO LIPPO PLAZA SIDOARJO,"Jl. Jati Raya No.1, Jati, Kec. Sidoarjo",-7.4460241,112.6983634
Uniqlo,UNIQLO LIVING WORLD ALAM SUTERA,"Jl. Alam Sutera Boulevard No.Kav. 21, Pakulonan, Kec. Serpong Utara",-6.2443767,106.653103
Uniqlo,UNIQLO LIVING WORLD DENPASAR,"Jl. Gatot Subroto Tim., Tonja, Kec. Denpasar Utara, Kota Denpasar",-8.6349267,115.2319519
Uniqlo,UNIQLO LIVING WORLD PEKANBARU,"Jl. Soekarno - Hatta, Tengkerang Bar, Marpoyan Damai, Kota Pekanbaru, Riau",0.5002369,101.4201878
Uniqlo,UNIQLO LOMBOK EPICENTRUM MALL,"Jl. Sriwijaya No.333, Punia, Kec. Mataram, Kota Mataram, Nusa Tenggara Barat 83127",-8.5934084,116.1045848
Uniqlo,UNIQLO LOTTE SHOPPING AVENUE,"Jl. Prof. DR. Satrio No.Kav 3-5, Kuningan, Karet Kuningan",-6.223668,106.823172
Uniqlo,UNIQLO MAL BALI GALERIA,"Jl. By Pass Ngurah Rai, Simpang Dewa Ruci, Kuta, Kabupaten Badung, Bali",-8.7228712,115.1829038
Uniqlo,UNIQLO MAL BOEMI KEDATON,"Jl. Teuku Umar Jl. Sultan Agung No.1, Labuhan Ratu, Kec. Kedaton, Lampung",-5.3820668,105.2573125
Uniqlo,UNIQLO MAL CIPUTRA TANGERANG,"Jl. Citra Raya Boulevard No.1, Tangerang",-6.2610689,106.5249494
Uniqlo,UNIQLO MALL OF INDONESIA,"Jl. Boulevard Bar. Raya, Klp. Gading Barat, Kec. Klp. Gading, Kota Jkt Utara, DKI Jakarta",-6.1510566,106.8898917
Uniqlo,UNIQLO MALL TAMAN ANGGREK,"Jl. Let. Jend. S. Parman, Kav.21, Slipi Jakarta Barat",-6.177245,106.792762
Uniqlo,UNIQLO MANADO TOWN SQUARE,"Jl. Piere Tendean, Manado, Sulawesi Utara",1.4723052,124.8318106
Uniqlo,UNIQLO MARGOCITY,"Jl. Margonda Raya No.358, Kemiri Muka, Kecamatan Beji, Kota Depok, Jawa Barat",-6.372998,106.834803
Uniqlo,UNIQLO NEO SOHO,"Jl. Letjen S. Parman No.Kav. 28, Tj. Duren, Kec. Grogol petamburan, Kota Jakarta Barat, DKI Jakarta",-6.175246,106.790092
Uniqlo,UNIQLO NIPAH MALL,"Jl. Poros Makassar - Maros No.23, Panakkukang, Makassar",-5.1390357,119.4500353
Uniqlo,UNIQLO ONE DISTRICT PURI,"Jl Metland Boulevard, RT.001/RW.005, Parung Jaya, Kec. Karang Tengah, Banten",-6.1973214,106.7027176
Uniqlo,UNIQLO PAKUWON MALL,"Jl. Puncak Indah Lontar No. 2, Sambikerep, Surabaya",-7.287698,112.675307
Uniqlo,UNIQLO PAKUWON MALL JOGJA,"Jl. Ringroad Utara, Sanggrahan, Kaliwaru Condong Catur, Depok, Kabupaten Sleman",-7.7603461,110.3988662
Uniqlo,UNIQLO PAKUWON MALL SOLO BARU,"Jl. Ir. Soekarno, Dusun II, Madegondo",-7.6009485,110.8138805
Uniqlo,UNIQLO PALEMBANG ICON,"Jl. POM IX, Lorok Pakjo, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan",-2.9790203,104.7457104
Uniqlo,UNIQLO PANTAI INDAH KAPUK,"Jl. Pantai Indah Kapuk Boulevard, PIK Penjaringan, Jakarta Utara",-6.109298,106.739761
Uniqlo,UNIQLO PARIS VAN JAVA,"Jl. Sukajadi no.131-139, Bandung, Jawa Barat, 40162",-6.889006,107.5958111
Uniqlo,UNIQLO PENTACITY,"Jl Jenderal Sudirman No.47 Gunung Bahagia Balikpapan Selatan, 76114",-1.274023,116.8577277
Uniqlo,UNIQLO PLAZA AMBARRUKMO YOGYAKARTA,"Jl. Laksda Adisucipto, Ambarukmo, Caturtunggal, Depok, Kabupaten Sleman",-7.7831832,110.4037054
Uniqlo,UNIQLO PONDOK INDAH MALL,Jl. Metro Pondok Indah Jakarta Selatan,-6.265101,106.784552
Uniqlo,UNIQLO PONDOK INDAH MALL 3,"Jl. Sultan Iskandar Muda No.28E, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, DKI Jakarta",-6.2642829,106.7812123
Uniqlo,UNIQLO QUEEN CITY MALL,"Jl. Pemuda No.27-31, Pandansari, Kec. Semarang Tengah",-6.9728609,110.4201671
Uniqlo,UNIQLO RESINDA PARK MALL,"Jl. Resinda Raya No.2, Purwadana, Kec. Karawang Bar., Kabupaten Karawang, Jawa Barat",-6.3016105,107.2780498
